TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,85888,16.71441026279736,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_27/Relu;model_28/tf.math.add_39/Add;model_28/tf.nn.convolution_27/convolution;Const_193
ADD,Add,76800,14.945821397434301,2400.0,0.0805162973372925,2400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_41/Add
CONV_2D,Conv2DBias,79488,15.4689251463445,3713.0,0.12456542167223626,3713.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,48.47831941826017,model_28/tf.nn.relu_28/Relu;model_28/tf.math.add_42/Add;model_28/tf.nn.convolution_28/convolution;Const_191
CONV_2D,Conv2DBias,85904,16.71752397558849,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_29/Relu;model_28/tf.math.add_43/Add;model_28/tf.nn.convolution_29/convolution;Const_188
ADD,Add,76800,14.945821397434301,2400.0,0.0805162973372925,2400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_45/Add
CONCATENATION,AvgPool,83200,16.19130651388716,1263.0,0.04237170147375018,1263.0,880.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.9897070467141725,model_28/tf.concat_3/concat0_avgpool
CONV_2D,Conv2DBias,83904,16.328309876696974,1360.0,0.04562590182446575,1143.0,1360.0,0.0,0.0,0.0,204800,0.09541984732824427,29.411764705882355,model_28/tf.nn.relu_25/Relu;model_28/tf.math.add_37/Add;model_28/tf.nn.convolution_25/convolution;Const_187
CONCATENATION,AvgPool,70400,13.700336280981443,1263.0,0.04237170147375018,1263.0,880.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.9897070467141725,model_28/tf.concat_3/concat1_avgpool
CONV_2D,Conv2DBias,78144,15.207373271889402,2223.0,0.07457822040866718,2223.0,1760.0,0.0,0.0,0.0,409600,0.19083969465648853,35.98740440845704,model_28/tf.nn.relu_30/Relu;model_28/tf.math.add_46/Add;model_28/tf.nn.convolution_30/convolution;Const_185
CONCATENATION,AvgPool,64000,12.454851164528584,1643.0,0.05512011521882149,1643.0,1600.0,0.0,0.0,0.0,12800,0.005963740458015267,1.5216068167985393,model_28/tf.concat_4/concat3_avgpool
CONV_2D,Conv2DBias,59760,11.629717274878566,8448.0,0.28341736662726963,8448.0,3840.0,2400.0024000024,0.0,0.0,3276800,1.5267175572519083,75.75757575757575,model_28/tf.nn.relu_31/Relu;model_28/tf.math.add_47/Add;model_28/tf.nn.convolution_31/convolution;Const_183
CONV_2D,Conv2DBias,81504,15.861252958027153,18763.0,0.6294697028915079,18763.0,800.0,13440.013440013441,0.0,0.0,7372800,3.435114503816794,76.74678889303416,model_28/tf.nn.relu_32/Relu;model_28/tf.math.add_48/Add;model_28/tf.nn.convolution_32/convolution;Const_180
CONV_2D,Conv2DBias,42800,8.329181716278491,4320.0,0.14492933520712648,4320.0,2720.0,0.0,0.0,0.0,1638400,0.7633587786259541,74.07407407407408,model_28/tf.nn.relu_33/Relu;model_28/tf.math.add_49/Add;model_28/tf.nn.convolution_33/convolution;Const_178
CONCATENATION,AvgPool,38400,7.4729106987171505,1235.0,0.04143234467148177,1235.0,976.0,0.0,0.0,0.0,6400,0.0029818702290076333,1.0121457489878543,model_28/tf.concat_7/concat0_avgpool
CONCATENATION,AvgPool,38400,7.4729106987171505,1235.0,0.04143234467148177,1235.0,976.0,0.0,0.0,0.0,6400,0.0029818702290076333,1.0121457489878543,model_28/tf.concat_7/concat1_avgpool
CONV_2D,Conv2DBias,43936,8.550255324448873,800.0,0.0268387657790975,800.0,600.0,0.0,0.0,0.0,204800,0.09541984732824427,50.0,model_28/tf.nn.relu_34/Relu;model_28/tf.math.add_50/Add;model_28/tf.nn.convolution_34/convolution;Const_176
CONV_2D,Conv2DBias,53552,10.421596711919292,3460.0,0.11607766199459668,3460.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,52.02312138728323,model_28/tf.nn.relu_36/Relu;model_28/tf.math.add_52/Add;model_28/tf.nn.convolution_36/convolution;Const_174
CONV_2D,Conv2DBias,56848,11.063021546892514,3394.0,0.11386346381782114,3394.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,53.03476723629935,model_28/tf.nn.relu_37/Relu;model_28/tf.math.add_53/Add;model_28/tf.nn.convolution_37/convolution;Const_172
ADD,Add,44800,8.718395815170009,1200.0,0.04025814866864625,1200.0,600.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_55/Add
CONV_2D,Conv2DBias,53632,10.437165275874953,4646.0,0.15586613226210871,4646.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,38.743004735256136,model_28/tf.nn.relu_38/Relu;model_28/tf.math.add_56/Add;model_28/tf.nn.convolution_38/convolution;Const_170
CONV_2D,Conv2DBias,56768,11.047452982936854,3388.0,0.11366217307447792,3388.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,53.128689492325854,model_28/tf.nn.relu_39/Relu;model_28/tf.math.add_57/Add;model_28/tf.nn.convolution_39/convolution;Const_167
ADD,Add,44800,8.718395815170009,1200.0,0.04025814866864625,1200.0,600.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_59/Add
CONCATENATION,AvgPool,48000,9.341138373396438,633.0,0.021236173422710895,633.0,440.0,0.0,0.0,0.0,3200,0.0014909351145038167,0.9873617693522907,model_28/tf.concat_5/concat0_avgpool
CONV_2D,Conv2DBias,50368,9.801967866483995,800.0,0.0268387657790975,800.0,600.0,0.0,0.0,0.0,204800,0.09541984732824427,50.0,model_28/tf.nn.relu_35/Relu;model_28/tf.math.add_51/Add;model_28/tf.nn.convolution_35/convolution;Const_166
CONCATENATION,AvgPool,35200,6.850168140490721,633.0,0.021236173422710895,633.0,440.0,0.0,0.0,0.0,3200,0.0014909351145038167,0.9873617693522907,model_28/tf.concat_5/concat1_avgpool
CONV_2D,Conv2DBias,43024,8.37277369535434,1440.0,0.0483097784023755,1440.0,880.0,0.0,0.0,0.0,409600,0.19083969465648853,55.55555555555556,model_28/tf.nn.relu_40/Relu;model_28/tf.math.add_60/Add;model_28/tf.nn.convolution_40/convolution;Const_164
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_7/concat2_avgpool
CONV_2D,Conv2DBias,37584,7.31411134636941,800.0,0.0268387657790975,800.0,600.0,0.0,0.0,0.0,204800,0.09541984732824427,50.0,model_28/tf.nn.relu_41/Relu;model_28/tf.math.add_61/Add;model_28/tf.nn.convolution_41/convolution;Const_162
CONV_2D,Conv2DBias,47168,9.179225308257566,3448.0,0.11567508050791021,3448.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,52.204176334106734,model_28/tf.nn.relu_43/Relu;model_28/tf.math.add_63/Add;model_28/tf.nn.convolution_43/convolution;Const_160
CONV_2D,Conv2DBias,50416,9.811309004857392,3393.0,0.11382991536059728,3393.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,53.05039787798409,model_28/tf.nn.relu_44/Relu;model_28/tf.math.add_64/Add;model_28/tf.nn.convolution_44/convolution;Const_158
ADD,Add,38400,7.4729106987171505,1200.0,0.04025814866864625,1200.0,600.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_66/Add
CONV_2D,Conv2DBias,47152,9.176111595466434,4637.0,0.15556419614709388,4637.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,38.81820142333405,model_28/tf.nn.relu_45/Relu;model_28/tf.math.add_67/Add;model_28/tf.nn.convolution_45/convolution;Const_156
CONV_2D,Conv2DBias,50480,9.823763856021921,3397.0,0.11396410918949275,3397.0,600.0,0.0,0.0,0.0,921600,0.42938931297709926,52.987930526935536,model_28/tf.nn.relu_46/Relu;model_28/tf.math.add_68/Add;model_28/tf.nn.convolution_46/convolution;Const_153
ADD,Add,38400,7.4729106987171505,1200.0,0.04025814866864625,1200.0,600.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_70/Add
CONCATENATION,AvgPool,41600,8.09565325694358,633.0,0.021236173422710895,633.0,440.0,0.0,0.0,0.0,3200,0.0014909351145038167,0.9873617693522907,model_28/tf.concat_6/concat0_avgpool
CONV_2D,Conv2DBias,44000,8.562710175613402,800.0,0.0268387657790975,800.0,600.0,0.0,0.0,0.0,204800,0.09541984732824427,50.0,model_28/tf.nn.relu_42/Relu;model_28/tf.math.add_62/Add;model_28/tf.nn.convolution_42/convolution;Const_152
CONCATENATION,AvgPool,35200,6.850168140490721,633.0,0.021236173422710895,633.0,440.0,0.0,0.0,0.0,3200,0.0014909351145038167,0.9873617693522907,model_28/tf.concat_6/concat1_avgpool
CONV_2D,Conv2DBias,43024,8.37277369535434,1440.0,0.0483097784023755,1440.0,880.0,0.0,0.0,0.0,409600,0.19083969465648853,55.55555555555556,model_28/tf.nn.relu_47/Relu;model_28/tf.math.add_71/Add;model_28/tf.nn.convolution_47/convolution;Const_150
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_7/concat3_avgpool
CONV_2D,Conv2DBias,70976,13.812429941462199,8373.0,0.2809012323354792,8373.0,4640.0,0.0,0.0,0.0,3276800,1.5267175572519083,76.43616386002627,model_28/tf.nn.relu_48/Relu;model_28/tf.math.add_72/Add;model_28/tf.nn.convolution_48/convolution;Const_148
CONV_2D,Conv2DBias,27824,5.414746543778802,2400.0,0.0805162973372925,2400.0,1360.0,0.0,0.0,0.0,819200,0.38167938931297707,66.66666666666666,model_28/tf.nn.relu_49/Relu;model_28/tf.math.add_73/Add;model_28/tf.nn.convolution_49/convolution;Const_146
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_8/concat0_avgpool
MAX_POOL_2D,MaxPool,38400,7.4729106987171505,1663.0,0.05579108436329893,1663.0,1200.0,0.0,0.0,0.0,57600,0.026836832061068704,6.764882742032471,model_28/tf.compat.v1.nn.pool/max_pool
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_8/concat1_avgpool
MAX_POOL_2D,MaxPool,38400,7.4729106987171505,1663.0,0.05579108436329893,1663.0,1200.0,0.0,0.0,0.0,57600,0.026836832061068704,6.764882742032471,model_28/tf.compat.v1.nn.pool_1/max_pool
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_8/concat2_avgpool
MAX_POOL_2D,MaxPool,38400,7.4729106987171505,1663.0,0.05579108436329893,1663.0,1200.0,0.0,0.0,0.0,57600,0.026836832061068704,6.764882742032471,model_28/tf.compat.v1.nn.pool_2/max_pool
CONCATENATION,AvgPool,32000,6.227425582264292,2223.0,0.07457822040866718,2223.0,1040.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.5623031938821412,model_28/tf.concat_8/concat3_avgpool
CONV_2D,Conv2DBias,70096,13.641175737949931,8373.0,0.2809012323354792,8373.0,4640.0,0.0,0.0,0.0,3276800,1.5267175572519083,76.43616386002627,model_28/tf.nn.relu_50/Relu;model_28/tf.math.add_74/Add;model_28/tf.nn.convolution_50/convolution;Const_144
CONV_2D,Conv2DBias,30112,5.860007472910699,4608.0,0.1545912908876016,4608.0,1920.0,1200.0012000012,0.0,0.0,1638400,0.7633587786259541,69.44444444444444,model_28/tf.nn.relu_51/Relu;model_28/tf.math.add_75/Add;model_28/tf.nn.convolution_51/convolution;Const_142
CONV_2D,Conv2DBias,22272,4.334288205255947,4942.0,0.1657964756003748,4942.0,800.0,1440.00144000144,0.0,0.0,819200,0.38167938931297707,32.375556454876566,model_28/tf.math.add_76/Add;model_28/tf.nn.convolution_52/convolution;Const_140
TRANSPOSE,AvgPool,12800,2.490970232905717,320081.0,10.738223736674133,320081.0,825.0,1200.0012000012,0.0,0.0,12800,0.005963740458015267,0.007810522961375402,model_28/tf.compat.v1.transpose_14/transpose_avgpool
STRIDED_SLICE,AvgPool,0,0.0,16536.0,0.5547572886539454,16536.0,0.0,1200.0012000012,0.0,0.0,6400,0.0029818702290076333,0.07559264634736332,model_28/tf.strided_slice_12/StridedSlice_avgpool
RESHAPE,Memcpy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,model_28/tf.reshape_5/Reshape
TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,1664,0.32382613027774315,4100.0,0.13754867461787468,4100.0,100.0,9.375009375009375,0.0,0.0,900,0.0004193255009541985,0.0428734756097561,model_28/tf.math.add_77/Add;model_28/tf.nn.convolution_53/convolution;Const_139_cg0
CONV_2D,AvgPool,1600,0.3113712791132146,2913.0,0.09772665589313878,2913.0,144.0,9.375009375009375,0.0,0.0,100,4.659172232824427e-05,0.006704857535187092,model_28/tf.math.add_77/Add;model_28/tf.nn.convolution_53/convolution;Const_139_concat0_avgpool
